"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Early-demographic dividend","EAR","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22219.6655950868","","","","","","","","","","26001.7080055354","","","","","","","","","","","","","","","30073.2257479022","","","","","","","",
"East Asia & Pacific","EAS","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46809.7367904309","","","","","","","","","","56743.0018722517","","","","","","","","","","","","","","","66504.3462484336","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1427.15093878581","","","","","","","","","","1538.27354503553","","","","","","","","","","","","","","","1622.0329950454","","","","","","","",
"Europe & Central Asia","ECS","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10908.8067657881","","","","","","","","","","11766.3568820118","","","","","","","","","","","","","","","12522.3887312033","","","","","","","",
"Ecuador","ECU","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.3261556215","","","","","","","","","","136.4363004108","","","","","","","","","","","","","","","149.5825623485","","","","","","","",
"Egypt, Arab Rep.","EGY","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3386.668116834","","","","","","","","","","4071.137120864","","","","","","","","","","","","","","","4819.91052629","","","","","","","",
"Euro area","EMU","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7716.8831257166","","","","","","","","","","8398.6751900709","","","","","","","","","","","","","","","8984.90190551027","","","","","","","",
"Eritrea","ERI","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.53568871133","","","","","","","","","","5.53568871133","","","","","","","","","","","","","","","8.39020649157","","","","","","","",
"Spain","ESP","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","735.610105098","","","","","","","","","","778.030219197","","","","","","","","","","","","","","","844.281839546","","","","","","","",
"Estonia","EST","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.09234407499","","","","","","","","","","16.081262672","","","","","","","","","","","","","","","20.93740332324","","","","","","","",
