Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guinea-Bissau,GNB,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70140965,,,,,,,,,,21.64868599,,,,,,,,,,,,,,,25.13603306,,,,,,,
Equatorial Guinea,GNQ,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07970852,,,,,,,,,,14.43927602,,,,,,,,,,,,,,,16.74426054,,,,,,,
Greece,GRC,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.4367708,,,,,,,,,,211.7923441,,,,,,,,,,,,,,,209.3268075,,,,,,,
Grenada,GRD,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36290657,,,,,,,,,,6.282980662,,,,,,,,,,,,,,,7.254384695,,,,,,,
Greenland,GRL,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.912475599,,,,,,,,,,2.324963924,,,,,,,,,,,,,,,2.324963924,,,,,,,
Guatemala,GTM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.630123146,,,,,,,,,,7.304015081,,,,,,,,,,,,,,,13.62591741,,,,,,,
Guam,GUM,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63600806,,,,,,,,,,1.923867792,,,,,,,,,,,,,,,1.923867792,,,,,,,
Guyana,GUY,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5066748,,,,,,,,,,150.4817672,,,,,,,,,,,,,,,147.8968749,,,,,,,
High income,HIC,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22867.98704,,,,,,,,,,24659.36634,,,,,,,,,,,,,,,26628.92944,,,,,,,
"Hong Kong SAR, China",HKG,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.56971053,,,,,,,,,,68.74153744,,,,,,,,,,,,,,,72.49292916,,,,,,,
Honduras,HND,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94221388,,,,,,,,,,16.93634436,,,,,,,,,,,,,,,40.47009572,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.960203,,,,,,,,,,1538.688936,,,,,,,,,,,,,,,1932.040934,,,,,,,
